time,cr
31,CR2B
10,CR2B
15,CR2B
12,CR2B
9,CR2B
16,CR2B
14,CR2B
14,CR2B
15,CR2B
13,CR2B
11,CR2B
14,CR2B
11,CR2B
17,CR2B
10,CR2B
8,CR2B
15,CR2B
11,CR2B
17,CR2B
11,CR2B
21,CR2B
19,CR2B
14,CR2B
14,CR2B
13,CR2B
12,CR2B
13,CR2B
14,CR2B
14,CR2B
15,CR2B
9,CR2B
12,CR2B
17,CR2B
17,CR2B
27,CR2B
13,CR2B
13,CR2B
10,CR2B
14,CR2B
12,CR2B
15,CR2B
18,CR2B
12,CR2B
11,CR2B
12,CR2B
12,CR2B
12,CR2B
14,CR2B
10,CR2B
17,CR2B
20,CR2B
17,CR2B
19,CR2B
17,CR2B
15,CR2B
9,CR2B
13,CR2B
13,CR2B
9,CR2B
10,CR2B
13,CR2B
13,CR2B
12,CR2B
22,CR2B
12,CR2B
11,CR2B
25,CR2B
21,CR2B
9,CR2B
